comment,likes_count
gotta respect maga mike nodding in agreement during the ukraine portion even when biden criticized trump he nodded gentler nod during that part but still a nod he wont last long the cult is going to eat him,67
mtg is wearing her iq on her hat,67
99 of republicans talking points evaporated tonight the old guy is very capable,67
welcome to the sage age folks cant wait until bluevember,67
epipens bro epipens add that to the list if it isnt there already,66
speaker johnson looks extremely uncomfortable with the facts,66
how is reducing the price of insulin a bad thing these republicans are mean,66
im not surprised at all at how well he delivered this speech i saw him speak years ago very passionate about our country and its ppl and as far as being old only someone with his experience could speak with such conviction we could never say that about trump,65
he gets my vote every time,65
i wouldve had mtg tossed out since she doesnt know how to act shes so slow its ridiculous and shes not true representation of my state georgia,64
this wasnt a state of the union address it was a campaign ad,63
hes accomplished a record of accomplishments regardless of a completely ineffective house give biden a democratic house senate then see what can be accomplished,63
im with joe right now democracy is in danger people whats wrong with saving democracy i think so please do anything possible to help i am i wil till my dying day love yah,63
youre not giving another 2 trillion dollar tax break to your donors thats good to hear,62
that was really satisfying to watch im so glad he came out swinging there was none of this my friends across the aisle crap it was a throw down great job,62
johnson looked like a kid whose mom forced him to sit for a time out,62
mr president youre still looking awesome bless him jesus,62
no respect for scotus they dont deserve it,62
i am so moved and proud all of these hard working and devoted patriots,62
you do realize that all of those people sitting in there agree with what joe biden is saying they just dont want anyone to know it they want the benefit of everything joe biden wants to give us all but they want to take it away from you stop the republicans before you lose everything,61
i did not expect the president to kick every conservative talking point in the balls wow,61
my god please lets get the teachers a pay raise they need is desperately,61
biden did a great job despite idiotic reps yelling at him and silly response from alabama rep,61
great speech biden ive never heard trump be as motivating as joe,61
we love you president biden,61
thank you mr president for showing all haters that you are truly in an amazing mental fitness and can take the country into a greater success in the coming 5 years to all haters of all ages keep quite lets keep decency in this great nation joe biden is a true american who loves all americans and the usa vote for joe president biden everyone,60
that was an incredible speech im actually optimistic,60
the general reaction of the republicans not clapping not standing yelling insults and grimacing at certain points is a horrible example for all americans their disrespect is what has enabled division n this country they are modeling childish behavior and a lack of honor i sincerely hope we can turn away from that and be reunited respectful of all our fellow citizens and use our energy to make our lives better instead of trying to make our neighbors lives unbearable,59
so glad i dont have to see the accordiion hands ever again at a sotu speech,59
maybe the most important speech in history no pressure go joe,59
biden for democracy,59
people shouting out way too much i wish people were more decent,58
johnson looked like he was afraid to agree with the president and was trying to clap unseen but was seen he just couldnt hold back,58
this true christian man wants to serve his country his people hes not a celebrity seeking his own power hes a worker and a doer rapidly healing his country,57
what an amazing state of the union go joe,57
what a speech he just keeps punching mike johnson in the face,57
omgthank you president biden for actually governing for all the peopleexcellent sotu btw,57
the traitors of the church bench have left the building back to their bunker,57
mike johnson looks ridiculous shaking his head at facts,56
mr president biden that was exceptional outstanding leadership magnificent speech,56
mike johnson nodded in agreement with everything the president said until 3211 thats when he started talking about the coup attempt on jan6 at that point johnsons demeanor changed he was a part of the coup,55
does anyone honestly believe trump in his present state could do that,55
so proud of all hes accomplished,55
notice how people smile and laugh when biden addresses themyouve never seen that under trump only anger hate and fear thats not us thats us as in us,54
just a tip watch this at 15x speed,53
well done mr president,53
biden was on tonight i love my president,53
corporate america wants an educated workforce and skill trades people but they dont want more taxes to help get that done i get it millionaires and billionaires taxes stink but kudos to you guys and gals you know how to take risks help us help you lets increase taxes on you and we can give you updated infrastructure educated skilled and healthy workers we can continue to set your and your grandchildren up,52
tutor the scotus justices first teach them english so that they understand the constitution,52
i doubt trump couldve gotten finland sweden in nato,52
watching from francegreat speechgood luck usa,51
i am so proud to be an american mr president i salute magnanimous outstanding speech i am moved,51
1 public school teachers need more money 2 child tax credit are needed 3 big corporations need to pay higher taxes pay your share 4 stupid junk fees 5 bank card late fees from 358 bucks 6 border control needs to be fixed 7 pass the voting rights 8 pass the equality act 9 pass the pro rights 10 climate act clean energy jobs 11 all americans need to be safe 12 invest cities with mental health workers more police reforms crimes of domestic violence one of the best sotu talks ive heard he is offering us so much more than what trump would give,50
mtg annoying as usual for once let your brain do the thinking other than that useless cap,50
trump im voting for biden after that speech thank you,50
that republican response was so annoying to listen to i thought she was going to burst into tears throughout her speech,50
thank you mr president for a great speech that boldens american,50
thank you president biden fot painting such a positive future for america america is not a third world country like the former president keeps stating onward and upward president biden made in america it is looooooking soooo good,49
at 4356 if any of you dont want that money in your district just let me know dark brandon,49
could mike johnson have acted more childish,49
wonderful speech,49
you can see that mike johnson wants to clap more but knows he cant because hell get voted out as speaker,48
ok not that it matters but did anyone else notice that he didnt let the speaker introduce him normally the speaker says like i have the high honor and distinct pleasure of presenting to you the president of the united states but president biden just went into his speech before johnson could get the words out,48
wow someone should do an ad with what biden would do for the people and what trump will do for trump,46
great speech,46
what a stark difference the calm assured voice of biden as opposed to the finger nails on a chalk board voice of trump,46
that ending i see a future i see a future so very kennedyesque,46
you cant even begin to compare the orange candidate to biden he speaks sense hes humorous he has great plans to move the country forward hes the reason we admire america,45
bidin is fired up this time should be fun to watch the debates in the future,45
