comment,likes_count,label
what is the minute marker for the 10 fewer snickers comment edit the entire address was really great it was disappointing to see some of the crowd unengaged as if lead pipes safe communities health and our veterans werent important,45,0
adolf hitler was a left wing liberal progressive socialist adolf hitler advocated for universal healthcare adolf hitler was the modern day father of environmentalism adolf hitler was a vegetaraian adolf hitler created the phrase social justice in his book mein kamf 100 beyond a shadow of a doubt absolute fact,1,0
bull shit,1,0
porém chegou até não aparecer com ele que ele é um cesar,1,0
daaayum,1,0
the minister of sweden welcome,63,0
what an angry loser,1,0
what is it about drugs you are senile and just lie so perfectly and they of course believe you,1,0
why are you deleting comments,65,0
dr jill is swelled with pride for her husband,63,0
yes,1,0
blue is the color of innovation look it up,1,0
experience ideas oh yes,1,0
fromphilippines and here in saudi arabia,1,0
mtg needs to grow up,1,0
i have no words for this dribblesmh,1,0
1028 this zoomin on scotuss miserable faces is absolutely priceless,59,0
what a crock of lies from this pos,1,0
must be a lot of bots here otherwise there really is that many stupid people,1,0
well you know how much it cost you,1,0
slow joe i sign to be able to do a speach like this one at the same age a great speach from a really smart man,48,0
where is all of this happening because my own observation is looking like everything is hanging on by a thread,1,0
four more years,1,0
i made it through 17 minutes now i need to take a couple of showers,1,0
all these rich ass ppl in the crowd nobody that cares for the ppl,78,0
what show is this from,1,0
boring,1,0
lies lies and more lies how could you play such a event live when its filled with misinformation,1,0
4 more years,1,0
for any religious people you can see who the serpents in the crowd are its not hard to spot the eyes speak 1000 words,35,0
old fogey stogey,1,0
a big stage production,1,0
the comments are bots,1,0
scotus who woke them up keep them asleep thats when they do their best work,38,0
liar an thief,1,0
not bad,1,0
3545 a million what,1,0
these people are all fools,1,0
damn dark brandon _crushed it_,70,0
four more years,39,0
wow,1,0
more like state of confusion address,1,0
nothing is built nothing is back nothing is better,1,0
look at the ghouls cheering abortion,1,0
ban those child molesting gay sex books wtf,1,0
you will come to terms with the power of women,66,0
what did he say fffffchildren iin the future,1,0
kicked out quickly if done right they would not be here at all,1,0
o te lumte goja more burri i urtesise dhe i diturise nga shqiperia 8 perendia i madhe na bekone shpresoje ne tere boten tone,1,0
858 reproductive freedom is reproductive holocaust,1,0
many statements and many claims yet no real substance,1,0
426000 views and 8160 likes that ist less than 2 there is no other comment needed,1,0
amazing awesome,1,0
did he relate jan 6th to the civil war,1,0
do you see how many people are standing are the ones that never worked a hard day in their life,17,0
lies upom lieswow,1,0
so full of it,1,0
clown show,1,0
donald trump donald trump donald trump,1,0
cnn why you keep deleting my comment,1,0
this has a hunger games vibe,1,0
we are at risk with you in charge,1,0
every empire falls without g o d,1,0
