comment,likes_count
where are americas young ceos we need real legitimate change forget these parties and lets vote for what the runner has accomplished in their lifetime,7
wtf we are in trouble this is equivalent to letting grandpas cook at a family barbeque when they just just burned their house down 2 months prior with aluminum foil in the microwave,7
i see and have seen more vets homeless now than ever before on the streets with no help or benefits,7
i love how joe speaks in dot points every single time lmao,7
i like it when joe said his son landed at dday when he served in iraq,7
you called my son a sucker and a loser no i didnt yes you did this is really what we are arguing about,7
dude trump brought up afghanistan and biden shit his pants possibly literally that was the best ahh dammit face ive ever seen,6
to be fair if you skip the opening moment of lapse its actually biden who has more substance in what he says,6
as an american this was very hard to sit through and watch two old men fighting and arguing not even answering the questions just targeting each other were cooked,6
why re you guys still voting for bidden if i may ask,6
biden looking at trump like hes gonna swing a punch,6
why does biden sound like a 100 year old ai voice,6
what the hell did i just watch,6
even trump is looking at him shocked,6
oh my gosh theyre talking about golf,6
biden is very intelligent he thinks so fast his lips cant keep up,6
130 thats when he said i skibidi with,6
why does it start off like a wwe entrance,6
it is sad to see biden struggling but its even more concerning is hes president of a country with his finger on the button trump can just crawl back under the stone he came from,6
as a filipino citizen i vote donald trump for america hit like if youre with me,6
trump please stop the psychological toment he is already old,6
this debate is just two old people blaming each other what i love the most about this debate is how theyre giving each other a chance and not disturbing each other,6
how trump can keep straigh face on this debate xd,6
why did they replay the part at 803 again at 1102,6
oh we are so fucked,6
biden looks so tired and desperate,6
any moment from now someone will come and announce that this is an ai joke and not a real american presidential debate,6
although i find some of it humor i also would never want any of my loved ones to be trying to assume the position of president of the united states with the mental faculties that joe biden possesses in his later years its sad and i honestly think trump what was treating biden as polite as possible because he knew it was just not right for them to have that old man up there,6
no one will ever vote for genocide joe i am a registered democrat who voted for biden before and i will vote for trump if it comes to that,6
us economy is as good as the mental and physical health of these gentlemen,6
trump should do a 8 year term turn this country back,6
shame on cnn for not having all candidates in the debate rfk24,6
this debate changed my mind on who im voting for,6
both useless guys,6
poor biden he just needs to retire and step down come on he is 82,6
as a german this kinda looked like an argument between 2 pensioners its crazy they are running for president,6
yes im a senior citizen struggling because high prices on everything,6
bidens face i just cant its hilariousas we say in england hes shot away,6
americans hahaha im in danger,6
i feel like jb handlers allowed this to happen there was no way in hell they expect jb can answer coherently,6
the entire civilized war watched and we all collectively went well were fuwkd,6
this guy is not fit to be presiden look at the way he talk no energy at all how is he going to govern the country and tje world,6
98 of america is for america and trump we the people will vote for a person who is best person for the job,6
how is this man president he cannot make sentences or complete a thought it is truly terrifying,6
it would be nice to see our country back on track again i sure hope everyone can clearly see now who we need to vote for,6
the most saddest and disgusting part of this whole thing is even after people watch this disaster from our current president we will still have people vote for this bs,6
biden should have subtitles,5
its a shame there arent any subtitles to this,5
wwith the covid i skibidi with,5
ive never heard so much malarkey in my life,5
this is hilarious,5
the uhu huh um i skibidi with umm,5
donald trump for me thats who i am voting for,5
