comment,likes_count
today is one of the gest days in american history go justice,12
every time tapper says guilty i celebrate,12
awesome,12
this doesnt change a thing he is still going to win,11
why is trump still walking free the system is not working,11
total political bs absolutely disgraceful,11
kangaroo court,11
he just got the american vote trump 2024,11
justice matters,11
tonight we drink wine out of a bottle,11
the news milania has been hoping for,11
cant wait for snl version of hush money trial,10
thank you jury and judge for your courage and service to the truth,10
democracy prevails if you dont like it move to russia with donald,10
shame trial,10
found guilty 34 times in 11 hours pity hell never see a jail cell,10
wha you gotta be kidding wheres the evidence there is none this is sick,10
overturned upon appeal,10
is this the end of the republic,10
from london england well done america just keeping the world safe every single day best news all year,10
he should now have to surrender his passport and be put under house arrest in mara logo until sentencing i dont trust this pig to not get on his jet and try to run prior to sentencing he will do whatever he needs to we all know this now he will cry like a little baby how he can go to prison for all of use,10
finallyaccountability,10
donald goes to jail and not hillary you just cant make this stuff up lock him up,10
never ever been happier,10
trump guilty on all 34 counts finally we have some measure of justice,10
any chance i can treat the jury to take out,10
bravo alvin bragg,10
it was a perfect call guilty on all counts,10
i have already told my iphone to put this in as a holiday every year cant believe it finally happened,9
hopefully this is the beginning of reclaiming the country,9
america has fallen,9
this is crap,9
a sad day for the usaa kangaroo court,9
a predictable outcome from a partizan court,9
yawn as an independent who watched this trial from beginning to end i think ive decided on voting for trump such a sham i bet not a single person here can show me the damning evidence the proved beyond reasonable doubt that he was guilty in case anybody says im just a trump supporter i voted for obama and biden,9
lock up the narcissist,9
still voting for trump fjb,9
lock him up,9
justice is served to think otherwise your head is in the sand,9
lock him up lock him up,9
in donnies mind the song rikers island i hear you calling me is becoming an ear worm and is growing louder and louder for once in his decades of abusing the justice system he may finally be held accountable,9
every developer in new york has just been put on notice the average person has no idea how damaging this case is to the future of the city,8
black thursday for america we have killed the justice system,8
about time the law catches up to him,8
and now well get to hear magas go crazy,8
clown court system,8
thank goodness for goodness sake,8
fjb trump2024,8
he shouldve done that sesame street the count count one one guilty felony charge two two felony charges whahahahaha,8
they always get the mafia bosses on the books,8
yes justice,8
trump for penitentiary 2024 baby,8
bye trump,8
this is truely an unforgettable moment in us history we are now on par with stalins soviet union,7
this is both the greatest day and worst day for politics in our country,7
pinocchiofound guilty,7
where was this case held at again,7
kangaroo court,7
i could watch this over and over,7
election interference trial guilty on all 34 counts,7
and the crowd cheers now we are drawing the swamp,7
his donation center crashed because of the volume of donations coming in as a person of color i feel i can relate to how hes been treated hes a fighter,7
crook all his life,7
you all know this will be overturned on appeal right,7
he finally got the popular vote,7
ladies and gentlemen we got him now only 57 criminal counts to go i like presidents who arent felons,7
thank you jury for doing your job,7
lock him up,7
i got my dancing shoes on and tonight im going out to celebrate,7
hip hip hooray,7
100 political lets open up that laptop trump 2024,7
ding dong,7
i always knew he is 100 percent committed to committing crimes it was a perfect score,6
remember when biden had classified documents as a senator and felt american justiceyeah 2 tier of justice and america sees it for what it is,6
yes this is how screwed up we are here in usa yet we want freedom in the world hypocrite,6
he going to appeal to the supreme court and you know they already paid off,6
and i will still vote for him over that joke in office right now,6
its about time hes held accountable for his crimes hes been dodging and blaming other people for his crimes for years i had hi hopes but never thought it would happen ya hoo,6
those are all misdemeanors what was the linking crime statute to upgrade those to a felony,6
cant wait to see those poll numbers climb even higher,6
disgusting,6
just solidified trumps reelection,6
whats odd is 0 humans can apparently name the actual crime that was committed not the judge prosecutor or jurors it would be comical if it happened in some other country guess well see what the red state attorney generals decide to do in response,6
voting for our president joe bidenis voting for a better america,6
lock him up in the good old u and the s and the a,6
i aint seen a 34 this big since shaq played for the lakers,6
losers just keep losing,6
had any one been convicted of this many felonies ever,6
thats a hot mess of guiltys,6
still voting trump,6
fantastic brilliant,6
cultist are annoying,6
america wants to see true justice,5
will trump pay the court fees after losing so bad,5
get the orange buffalo an orange jumpsuit,5
this is the first 34 steps towards making america great again,5
political persecution classic textbook maga 2024,5
all of yall are so happy but not even realizing that this pretty much sealed the victory for the orange man,5
im still voting for him,5
they should all expect to be brought up on real charges soon starting with biden,5
he cant even vote now lmao,5
was there any other outcome in this liberal court,5
time to get a passport america will be toast,5
bullshit court,5
the new york bookies were covering the bets there seldom wrong,5
i thought coen was the one that took care of the books shouldnt he be found guilty of something,5
takes notes all men and women you will reap what you sow,5
fjb,5
whats to stop him from fleeing as sentencing isnt until july 11th is it just house arrest or is dirty diaper don the convict in jail now,5
maybe he should have spent more time awake than sleeping in court,5
the department of justice is committed to holding accountable those who wrongly believe there is one rule of law for the powerful and another for the powerless no one is above the rule of law,5
finally teflon don is losing his slickness,5
congrats for helping us elect him democrats,5
,5
200000 illegal immigrants were on that jury these are terrible nasty people everyone agrees how many of them cast their guilty votes by mailin ballot all of them i dont know but thats what people are saying the defendant in this case,4
can today be a national holiday,4
wow trump got 100 of the votes this time,4
fjb he started this political persecution i hope donny pays him back when he becomes the potus in 2025,4
you lying demarats,4
here they are getting him for anything other that what the trial was for typical rail roading to convict him of something,4
and the sentence is 4 years of white house house arrest,4
as they used to sayhiphiphorayyyyyyy,4
im voting trump,4
everything in trumps life says jail,4
i honestly dont believe you can find enough people for a jury in nyc smart enough to even understand his charges or the complexity of the bs theyre trying on him,4
how much did it cost new york to pay all these juriors off for working in a kangaroo court,4
we now live in a third world country,4
screw you bsnbc cnn npr,4
guilty on all counts,4
appealed and dismissed fake trial charges conviction,4
the us is a failed state,4
great freaking day for america no one is above the law,4
this gives me hope that there are sane people in the world,4
these jurist didnt have any guts they didnt understand what they were doing they asked for the instructions and the corrupt judge would not let them see the written instructions or they can ask questions this is not over yet and anybody who thinks it is let me hold my tongue so youtube doesnt kick me out of here,4
and it means absolutely nothing,4
will anyone trust the justice system ever again,4
still voting for trump2024 what was the crime no one knows because there was no crime from trump,4
this will over turn on appeal,4
now lets talk about bidens laptop,4
they just made him even stronger,4
couldnt have happened to a more deserving guy,4
thank god the american justice system works and these rich people are not getting away with the crap they do,4
at long last justice has prevailed lock him up,4
those poor 15 secret service members on his detail must be thinking dam we all going to be on work release,4
guilty what a beautiful word,4
es gibt noch richter in berlin a german saying about justice there are still judges in berlin the background being that a berlin jury found against the king in a civil case in the 18th century,4
trump just won the election,4
lock him up and throw away the key,4
guilty on all counts,4
lol they just gift wrapped the election to trump,4
we all knew he committed the crimes now he has to do the time,4
f the judge not guilty in november,4
question since trump was found guilty for hush money does this mean bill clinton can be charged with his 15 hush payments some were found dead so does this mean a formal investigation into why the clintons paid for the killings of numerous people asking for america,3
what a disgusting judgement,3
so your home is only worth what the government says its worth now so if i over sale or under sell a home the government wants the difference or the banks take it and felony charges and that includes renters being if the owner loses it to the bank they homeless am i wrong somewhere on this because it seems like i should vote for trump now,3
im glad because it will make him more popular than ever trump 2024,3
of course he was found guilty its in nyc he would have been found guilty of being a houseplant if thats what he was accused of what a sham and an embarrassment,3
i have to hand it to the democrats i have never and likely will never again have the same level of support for any other candidate than i do for donald trump you guys have secured the presidency for trump and you have my thanks,3
how did this jackass become president,3
oh thats a shame lol guilty of 34 felonies,3
thank you jurors mr bragg and your amazing team for upholding the law regardless of the individual,3
another first for trump to bragg about in solitary,3
and watch he will be the first president on probation lol what a joke all this for what just throw him in prison already,3
all he do win win win the most wining anyone has ever won,3
now for the next court case,3
all bullshit,3
you mean to say that a republican was found guilty of a crime in a democrat state in an election year oh nooooo,3
this will only boost his polls,3
trump 2024,3
but his due process rights were violated by a biased democrat judge and jury who prosecuted him for federal crimes in a state court,3
i cant wait to vote for this great man god bless donald trump,3
trump 2024,3
why doesnt the statute of limitations come in to play here this is a kangaroo court this will only get dt more votes,3
so sad for americatrump2024,3
will be overturned,3
what if the supreme court overturns it,3
for all yall thats excited do you even know who your next president will be,3
and just like that hes has my vote,3
good job cnn your puppet musters successfully driving us all to hell you want proof just look at corrupt power around the country as well as all the wars around the world,3
didnt cohen get caught lying,3
we all knew this was going to happen we all know the system is corrupt dont get too upset this is actually a good thing it exposes the corruption all the way to the top now we know who needs removed,3
sickening,3
anyone who believes in our judicial system you are a fool im not pro trump or pro harrisbiden but our system is damn joke,3
what a beautiful day make america great again,3
this country is doomed,3
my mother died of covid in january 1 she said hes evil but hell get caught before she passed away at 90,3
trump is sentenced to 4 years in the white house,3
everyone who is happy smiling and cheering are exactly why this country is in the toilet its okay though hell pardon himself in january when hes sworn back in office,3
not his peers his peers already said hes not guilty these are demons,3
can anyone tell me what exactly he did with his money he got charged for spending money i dont get it,3
witnesses texts and recordings whod have thought this is just the beginning,3
man theres gonna be ketchup on the walls tonight,3
now do hunter and joe obama george w bill,3
now this is what can make america great again,3
so who will be the nominee now that donny is ineligible as a convicted felon much as i despise trump he was our best hope for gettting rid of senile joe hopefully theres somebody out there that can replace our current kook,3
and still the best president of the united states of america trump 2024,3
now im really voting for him,3
they just handed trump the election lol,3
still gonna make a better again then anybody else running,3
they just got him elected,3
i wonder has anyone paid 8500000 to take out a full page ad in the new york times calling for his immediate incarceration,3
why doesnt the statute of limitations apply as these were all 2017 crimes,3
should have hired sesame street dracula for the count,3
and yet dr fauci still walks free,3
fascists always lose,3
i bet hes awake now,3
yes,3
and who couldve saw this coming with that jury instruction,3
saw this for all the cases againsttrump you have all of the overwhelmingevidence witnesses and testimonies from those republicans who worked for him andor around him phone records emails meeting logs audio tapes videos paper trails and in some cases signatures etc etc,3
saw this regarding hush money case trump found guilty on all 34felony charges _the facts testimonies and evidence_ should be all people concentrate on and most are not to mention that these payments were made in 2016 which was indeed an absolute case of election and an interference,3
yes a great day for the us and the entire vote blue forever,3
saw this from political 70 of the country rejects trumps claim that presidents should be immune fromprosecution for allegedcrimes theycommitted while in office,3
saw this from political hushmoney case half of americans believe trump isguilty 14 republicans 86 democrats 54 independents,3
continued the number of people who said that they believe trump isguilty in above comment was nearly identical to the results when asked respondents to consider trumpsguilt in his other threecriminal cases,3
do you know what if mother theresa had done all that theres no way shed have gotten away with it either,3
banana republic sad,3
hes a flight risk at minimum confiscate passport and apply ankle monitor for tracking better yet remand,3
finally hes been held accountable for his crimes,3
as happy as i am for this verdict its terrifying that this is unprecedented for the us he can still run for president what will happen if he wins this is scary and insane,3
hes going to go full blown nuclear bat shit now the likes of which we have never seen before put your seatbelts on everyone,3
im betting hillary has cracked open a bottle of wine and has a wry smile on her face,3
lol,3
it dont matter he still going to be president 2024 this is corrupt af when pedophiles and rapists get nothing smh where my rifle,2
the states need to make it illegal for a felon to be on a statenational ballot this still being a candidate for president should never be able to happen again,2
this will still drag on for months as obviously an appeal will eat up timethe american justice system is exhausting in its present formtrump will now play the victim and be using every method he knows to get donations to his campaignsickening,2
hmmm yeah im gonna still vote for trump in 2024,2
bro got his lawyers off craiglist,2
okay ive heard of double jeopardy but cmon now thats infinity jeopardy why so many charges for one crime,2
communism has prevailed,2
its the same charge worded 28 different ways,2
a conviction without a crime vote trump24,2
it was a shame and politically motivated americans are not stupid this is no different from a thirdworld country using the legal system to bury their political opponents sad day in america,2
,2
no 1 is above the law except if your 1 biden colluding with ukraine on tv as vp 2 hillary deleting 3000 classified emails 3 obama sending billions of dollars to iran on a plane 4 bill clinton on jeffery epstein island 5 nancy palony hiding the jan 6th full videos for people to see 7 jamaal bowman pushing the fire alarm on purpose so were even more determined now to vote for president trump now you reading this instead of cursing screaming n howling at the moon like you lefties normally do remember facts dont care about feelings so is any of the 7 things i mentioned is a lie,2
pov biden what a wonderful day,2
interestingguilty on 34 counts and never explained what he is actually guilty of no crime is named yet,2
the world is laughing at how low america has fallen,2
obama drone strikes dozens of innocent children and nobody bats an eye trump does the dirty with one pawn star and everyone loses their minds,2
doald dumb his teflon didnt work,2
jail that pos,2
karma found him finally all those contractors he never fully paid people he hustled on scams women he abused american service men he discounted and at the end greed and panties took you down enjoy prison food,2
sad to read so many comments cheering for such a shameful trial this is the end separation of powers our judicial system is corrupted,2
everyone go vote for trump 2024,2
somewhere hillary clinton is laughing her ass off,2
so much winning,2
gee thats a shame,2
im fine with this now prosecute biden for the classified documents oh right they wont because his man classified him as senile and therefor above the law,2
trump is guilty of all crimes in this case and fairly hes been convicted and he has done even worst crimes in the federal case pending now its the time for the american people to judge to give a verdict and sentence donald trump in november verdict guilty sentence loss of the presidential election vote for biden and democrats save the usa,2
what a joke every busines owner and politician is guilty of the crap but i guess our government is to corrupt to go after anyone but trump,2
this is the kind of reporting that gives cnn such a bad name did you have to spend so much time saying djt was found guilty on all counts or did it make you feel special to read each individual verdict,2
crickets from trump cult members lmao,2
even mexico doesnt have a convicted felon running for office,2
not a jury by his peers you frickin liars bought and paid for jurors,2
the idiot that led the chant lock her up is getting his just desserts,2
now can we finally call him the illegitimate president,2
my god and the americans are allowed to vote for that guy i feel sorry for your country,2
vote donny for prisontent,2
smh ridiculous,2
lib not even child groomers get this many felony charges rep exactly our point not even pedophiles have this many charges this will be overturned and america will soon find out the lying thieves democrats really are,2
at least you guys picked a cool thumbnail trump looking like a g,2
what a joke,2
those jurors are no ones peers,2
trump literally just won the election,2
justice finally,2
michael cohen went to prison for 3 years after pleading guilty to the exact same crimes cohen didnt publicly attack the jurors the family of the judge the prosecutors and others donald trump must go to prison for the 4 year maximum penalty on each of 34 counts 134 years seems right vote blue,2
hallelujah,2
yep just made him president again go trump 2024,2
how much you wanna bet that not 1 charge will hold up on appeal but thats not what this was about was it its gonna backfire lol,2
as soon as it is perfectly established that he is ineligible to hold the office of potus putin is going to show america what a traitor to his country trump really is because he would be no more use to him,2
how is this clown even a presidential candidate,2
sad day wait till november,2
the end is near for our freedoms,2
holy s,2
so this guy is guilty of a felony for paying a mistress off and trying to hide the payment thats a felonyfederal offense for hiding mistess payments,2
if i win it wasnt rigged if i lose it was rigged,2
at least nixon had the dignity to resign after disgracing himself this convicted criminal does not have any integrity whatsoever nor does he feel any accountability or remorse hell just keep on scheming and his followers will keep denying and living in a fantasy world,2
what about joe sending money to the taliban and storing documents and records in his garage no ones charging him for that stuff this all is a setup starting to look more like a jake paul fight,2
he finally made america great again,2
just makes me want him even more trump 2024 baby,2
the polls just jumped up 45 for trump thank you branden,2
its just a disgrace them coming up with a verdict,2
even in jail he will be the president donald j trump thank you,2
