comment,likes_count
well there you go a precedent has been set to go after former presidents if no one is above the law doors open for retro prosecution to include a few representatives senators judgesand the list goes on i think our forefathers are rolling over in their graves truth has been hijacked and ill also bet if you look up at the statue of liberty she is weeping the only thing this solves is dividing us even further divide and conquer,1
i seriously dont think he should be convicted of 34 felonies when all he did was send hush money to stormy daniels to say that she didnt sleep with him i think its sabotage so he cant run as president,1
ha ha,1
people can protest peacefully all they want but that wont change the verdict and thank god we dont have a justice system based upon personal opinion,1
lock him up be careful fox you dont want to have to pay another seven hundred million dollar fine for knowingly spreading lies,1
the real verdict is going to be on november 5 if i win of course otherwise its rigged again,1
lol this presenter reading off the guilty verdicts sounds like she is at an auction haha,1
god is good,1
remember donaldtwelve minded people found you guilty of all charges face up to the fact that sensible people get the right verdict your supporters have yet to find their brains and morality,1
narsisist never accepts defeatneverwhat a loser,1
can you say kangaroo,1
only donald trump will get convicted with 34 cases and some being felonies and not going to prison thats wild people drive and get a dui and jail time for a misdemeanor,1
shame trial,1
hahahahahahahahahahahaha,1
,1
tired of willing stinky,1
i once had an uncle like trump he was a nononsense guy and that was very intimidating to lazy and stupid people normal hard working people liked him but twofaced grifters in our family couldnt stand him,1
i dont hear any boos,1
50 years in jail,1
no one is above the law justice has prevailed wonder if this is also what the donald meant by making america great again,1
this is great news now the independents and republicans can vote libertarian and we can get this country and our freedom back,1
watch him still win this november lmao,1
biden 2024,1
yes,1
an opportunity for him to make more money from his criminal verdict trump couldnt even stand up to defend himself inside the court but keeps whining spreading his lies outside the court this guy will live his life as whining and lying,1
he needs to be removed from the presidential candidacy,1
trump 2025,1
the russians putin compromised trump years ago and supported 200 trumps bid to become president they weaponized the fbi and judicial system all because putin wanted to invade the ukraine without nato response trump sold out american democracy system to make a buck those who support him are either stupid corrupt themselves of delusional,1
lol good orange buffoon,1
how you like that bye bastard,1
lock him up,1
god is good this the lord work,1
now if we could just get rid of fox news for spreading lies 247 we will be on our way to unifying the country that they have divided,1
if the republican party had any brains and wanted to go back to true conservatism they would have a new candidate by monday i cant stand donald trump or joe biden i would vote for a moderate conservative over joe biden in a heartbeat no more sociopath con man we dont need a trump want to be,1
cant fix stipid sell them a red hat show them fox news done,1
all you liberals better watch yo mouth you gonna be crying when hes president again and can actually form a sentence unlike the president we have now,1
guilty guilty guilty,1
any updates on those clintonobama indictments yet,1
for any of us a key factor in our sentencing would be how well we conducted ourselves in the eyes of the judge during the trial,1
finally accountability for the orange clown criminal,1
whoevers cheering are dumb if they think that weaponize government is a good thing they should be afraid we are becoming a third world country,1
trump 2024,1
integrity first service before self excellence in all we do loyalty duty respect selfless service honor integrity courage commitment these are samples of the core values across our military branches of which i was proud to serve in now sit there and tell this vet how you thank us for our service while you support a man who embodies none of these values character matters we must demand at least as much from our president and ourselves as we do from our armed forces,1
if being prosecuted for crimes is election interference maybe he shouldnt have committed all those crimes,1
accountability,1
no one wanted to prosecute this case because well there was no crime to prosecute so biden realizing that voters are aware that he biden is destroying the country sent for bragg and ordered him to charge trump with something anything a democrat donor judge was picked and a democrat jury to insure evidence would be berried and of course trumps found guilty july 11th trump will be sentenced to 134 years in prison and biden will be reelected see mail in ballots no id needed good plan to usher in fascism,1
yea total bullsht none of this amounts to sht phoney charges trumped up politically driven court of nonsense to interfere with an election if this keeps up the people are gonna lose their patience with the process and the people running it and then you will get a real insurection with real violence from a really angry populace,1
trump is innocent trump represents the majority of the american and australian people let america and australia great again biden and his adult diapers are not fit to be reelected the deep love from aussie for the president trump,1
just makes me a bigger trump fan will work harder to get him back where he belongs,1
ill still vote for trump even if he isnt on the ballot socialism is taking over this country it must be stopped,1
of course the cesspool of humanity found him guilty,1
im still voting for trump the first guilty president because america is guilty biden is guilty,1
democracy 1 maga 0,1
lock him up,1
theyll all be reversed obviously,1
law and order,1
republicans gotta move on from this clown,1
