channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
NBC News,Houston Zoo administered a &#39;groundbreaking&#39; vaccine to an elephant | Nightly News: Kids Edition,2024-06-21T02:23:22Z,3CUw26syTdE,6384,51,0
NBC News,Nightly News Full Broadcast - June 20,2024-06-21T02:00:14Z,KgOwrjMPwag,1010481,7128,1009
NBC News,Presidential campaigns battle over videos the Biden team dubs &#39;cheap fakes&#39;,2024-06-21T02:00:23Z,uEvFVfEVtLg,4640,46,109
NBC News,Hallie Jackson NOW - June 20 | NBC News NOW,2024-06-21T01:58:14Z,qjrAGwAIzEk,157702,654,105
NBC News,WHO issues warning about fake weight-loss drugs,2024-06-21T01:30:09Z,IhWYYTGbLAk,2117,22,8
NBC News,Power issues disrupt train service in New York area,2024-06-21T01:00:18Z,eL4lVSeUODM,2500,24,1
NBC News,Widespread flooding in South Texas after Alberto makes landfall,2024-06-21T00:30:14Z,Ws4856DxU4Q,62410,477,89
NBC News,Charges dropped against USC student accused of fatal stabbing on Greek Row,2024-06-21T00:00:09Z,HfDbJxtJ6Ms,2964,34,15
BBC News,UK Election 2024: The headlines | BBC News,2024-06-21T19:40:01Z,QmpohAK99fY,55012,711,382
BBC News,The Reform UK party wants to scrap Net Zero policies #BBCNews,2024-06-21T18:00:12Z,Nif2JAG9OCg,64933,1841,1021
BBC News,What&#39;s behind deaths at this year&#39;s Hajj pilgrimage in Saudi Arabia? | BBC News,2024-06-21T17:00:18Z,IC17ccWrTZ0,238406,1404,1788
BBC News,Elder Scrolls Online devs wanted the game to be like GTA. #GTA #ESO #BBCNews,2024-06-21T16:59:34Z,AjDtFY3AyPE,6755,171,8
BBC News,Inside India&#39;s first heat stroke emergency room. #India #Shorts #BBCNews,2024-06-21T16:00:50Z,mUTqzWYngHc,19944,566,64
BBC News,"Top sunscreens fail protection tests, consumer organisation says | BBC News",2024-06-21T15:30:05Z,FLOCP5HhDPk,66753,536,117
BBC News,"North Korea building border ‘wall’, satellite images reveal | BBC News",2024-06-21T14:45:02Z,Nx8W3U5SdCM,131936,1136,434
BBC News,Woman sues boyfriend for not taking her to airport. #NewZealand #Airport #BBCNews,2024-06-21T14:14:18Z,CPuZv_OUa9o,46815,729,105
BBC News,Extreme heat continues across large parts of the US | BBC News,2024-06-21T14:03:07Z,zsndtsgz5bE,20271,271,114
BBC News,Queen to sell music catalogue for £1bn | BBC News,2024-06-21T13:00:17Z,IoKl5htjv0M,59161,765,370
BBC News,AI helps to immortalise Holocaust survivors | BBC News,2024-06-21T11:26:24Z,oFOVDNFT_0A,19519,458,302
BBC News,Search continues in Tenerife for missing British teenager Jay Slater | BBC News,2024-06-21T09:45:01Z,QbQ0dP3azE4,53545,377,418
BBC News,Where did Jay Slater go missing in Tenerife? #Shorts #BBCNews,2024-06-21T09:16:37Z,lffEXaX8B5g,26291,484,77
Al Jazeera English,Police brutality is consistent in Kenya’s demonstrations: A protester,2024-06-21T20:50:35Z,8wER4p9FCso,11558,202,30
Al Jazeera English,Children starving to death as hunger spreads in Gaza,2024-06-21T20:18:35Z,B9VkqBsBdNM,26674,1105,544
Al Jazeera English,Palestinians grieve loved ones killed in Mawasi tent camp attack | AJ #Shorts,2024-06-21T20:11:59Z,1Ncnh2z4vy8,23314,2753,224
Al Jazeera English,"UN Secretary General calls for immediate Israel, Hezbollah de-escalation | #AJshorts",2024-06-21T19:42:47Z,wwZTAF3nC_U,35216,2785,246
Al Jazeera English,Few hospitals in Gaza remain operational with limited medical supplies,2024-06-21T19:41:10Z,70Yu6sT6ktM,7862,379,157
Al Jazeera English,Far-right Israeli minister given more powers over Palestinians | Al Jazeera Newsfeed,2024-06-21T18:31:46Z,Xac02L3zk9k,26038,773,330
Al Jazeera English,Students protest across India over examination ‘scam’ | Al Jazeera NewsFeed,2024-06-21T18:10:36Z,vqce2GiIYE8,6059,188,99
